#Trace id (start sample, end sample)
-------------------------------------------------------
p1.1Hand_held     (1607 5393)
p1.1Trousers_back_pocket     (2263 6024)
p1.2Handheld_using     (1737 5578)
p1.3Trousers_back_pocket     (5245 9246)
p1.4Handbag     (2110 5963)
p10.1Hand_held     (6123 11092)
p10.1Trousers_front_pocket     (3334 8189)
p10.2Handheld_using     (2045 7151)
p10.2Trousers_back_pocket     (4421 9508)
p10.3Backpack     (2088 7288)
p11.1Hand_held     (1513 6361)
p11.1Trousers_front_pocket     (2906 7728)
p11.2Handheld_using     (4097 9781)
p11.2Trousers_back_pocket     (5268 10942)
p11.3Backpack     (1603 6709)
p12.2Hand_held     (3061 6744)
p12.2Trousers_front_pocket     (2569 6258)
p12.3Handheld_using     (3090 7123)
p12.3Trousers_back_pocket     (3896 7975)
p12.4Backpack     (1572 5507)
p13.1Hand_held     (2214 6828)
p13.2Handheld_using     (2455 7529)
p13.2Trousers_front_pocket     (4290 9477)
p13.3Trousers_back_pocket     (3285 8842)
p13.4Backpack     (3176 8601)
p14.1Hand_held     (1878 6203)
p14.1Trousers_front_pocket     (2877 7158)
p14.2Handheld_using     (1711 6152)
p14.2Trousers_back_pocket     (2566 7077)
p14.3Backpack     (2152 6701)
p15.1Hand_held     (1241 5295)
p15.1Trousers_front_pocket     (2398 6459)
p15.2Handheld_using     (1984 6323)
p15.2Trousers_back_pocket     (3297 7665)
p15.3Backpack     (1049 5205)
p16.1Hand_held     (3006 7487)
p16.1Trousers_front_pocket     (4153 8680)
p16.2Handheld_using     (2367 7382)
p16.2Trousers_back_pocket     (4100 9124)
p16.3Backpack     (1965 6555)
p17.1Hand_held     (2311 7629)
p17.1Trousers_front_pocket     (3146 8377)
p17.2Trousers_back_pocket     (3189 8856)
p17.3Handbag     (1863 6795)
p18.1Hand_held     (971 5275)
p18.1Trousers_front_pocket     (1354 5619)
p18.2Handheld_using     (837 5716)
p18.2Trousers_back_pocket     (2026 7078)
p18.3Backpack     (1477 6066)
p19.1Hand_held     (1869 6563)
p19.1Trousers_front_pocket     (3297 8021)
p19.2Handheld_using     (1891 7091)
p19.2Trousers_back_pocket     (3749 8937)
p19.3Handbag     (1554 6429)
p2.1Trousers_front_pocket     (3021 7262)
p2.2Hand_held     (1999 5930)
p2.2Trousers_back_pocket     (3338 7337)
p2.3Handheld_using     (1469 5576)
p2.3Shirt_pocket     (4519 8612)
p2.4Backpack     (1763 5757)
p20.1Hand_held     (1573 5717)
p20.1Trousers_front_pocket     (2643 6698)
p20.2Handheld_using     (2235 6730)
p20.2Trousers_back_pocket     (3348 7822)
p20.3Backpack     (1713 6128)
p21.1Hand_held     (1346 4763)
p21.1Trousers_front_pocket     (1958 5519)
p21.2Handheld_using     (1590 5001)
p21.2Trousers_back_pocket     (2650 6219)
p21.3Backpack     (1759 5306)
p22.1Hand_held     (963 6582)
p22.1Trousers_front_pocket     (2434 8038)
p22.2Handheld_using     (1679 7976)
p22.2Trousers_back_pocket     (3612 9893)
p22.3Backpack     (1444 6931)
p23.1Hand_held     (1363 6353)
p23.1Trousers_front_pocket     (3763 8816)
p23.2Handheld_using     (2701 7819)
p23.2Trousers_back_pocket     (4229 9299)
p23.3Handbag     (3285 8296)
p24.1Hand_held     (2182 5767)
p24.1Trousers_front_pocket     (3355 6950)
p24.2Handheld_using     (1661 5869)
p24.2Trousers_back_pocket     (2690 6913)
p24.3Backpack     (1233 5694)
p25.1Hand_held     (1359 5910)
p25.3Handheld_using     (880 5169)
p25.4Handbag     (1369 5484)
p26.1Backpack     (1757 6455)
p26.2Hand_held     (1166 5829)
p26.2Trousers_front_pocket     (1750 6366)
p26.3Handheld_using     (931 6068)
p27.1Hand_held     (7325 11053)
p27.1Trousers_front_pocket     (4673 8413)
p27.2Trousers_back_pocket     (2587 7213)
p27.4Handheld_using     (2271 6716)
p27.5Backpack     (1998 5943)
p3.1Hand_held     (3057 8623)
p3.1Trousers_front_pocket     (4374 9925)
p3.2Handheld_using     (2185 7457)
p3.2Trousers_back_pocket     (3639 8890)
p3.3Shirt_pocket     (2741 8073)
p3.4Backpack     (1414 6894)
p4.1Hand_held     (891 5425)
p4.1Trousers_front_pocket     (2545 7004)
p4.2Handheld_using     (2047 6193)
p4.2Trousers_back_pocket     (2892 7009)
p4.3Backpack     (1350 5773)
p5.1Hand_held     (1087 4956)
p5.1Trousers_front_pocket     (2883 6669)
p5.2Handheld_using     (1132 5170)
p5.3Handbag     (1755 5497)
p6.1Hand_held     (2410 7400)
p6.1Trousers_front_pocket     (4189 9195)
p6.2Handheld_using     (2098 7440)
p6.2Trousers_back_pocket     (3680 8991)
p6.3Backpack     (3019 7724)
p7.1Hand_held     (1573 5249)
p7.1Trousers_front_pocket     (2559 6427)
p7.2Handheld_using     (2637 6896)
p7.2Trousers_back_pocket     (5419 9668)
p7.3Backpack     (1597 5070)
p8.1Hand_held     (1557 7596)
p8.1Trousers_front_pocket     (2826 8816)
p8.2Handheld_using     (2530 10147)
p8.2Trousers_back_pocket     (3803 11385)
p8.3Backpack     (1699 8406)
p9.1Hand_held     (1562 5614)
p9.1Trousers_front_pocket     (3027 7076)
p9.2Handheld_using     (2670 6477)
p9.2Trousers_back_pocket     (4774 8525)
p9.3Backpack     (1082 4702)
